timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_qdd_0 target_qdd_1 target_qdd_2 target_qdd_3 target_qdd_4 target_qdd_5 target_current_0 target_current_1 target_current_2 target_current_3 target_current_4 target_current_5 target_moment_0 target_moment_1 target_moment_2 target_moment_3 target_moment_4 target_moment_5 actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 actual_current_0 actual_current_1 actual_current_2 actual_current_3 actual_current_4 actual_current_5 joint_control_output_0 joint_control_output_1 joint_control_output_2 joint_control_output_3 joint_control_output_4 joint_control_output_5 actual_TCP_pose_0 actual_TCP_pose_1 actual_TCP_pose_2 actual_TCP_pose_3 actual_TCP_pose_4 actual_TCP_pose_5 actual_TCP_speed_0 actual_TCP_speed_1 actual_TCP_speed_2 actual_TCP_speed_3 actual_TCP_speed_4 actual_TCP_speed_5 actual_TCP_force_0 actual_TCP_force_1 actual_TCP_force_2 actual_TCP_force_3 actual_TCP_force_4 actual_TCP_force_5 target_TCP_pose_0 target_TCP_pose_1 target_TCP_pose_2 target_TCP_pose_3 target_TCP_pose_4 target_TCP_pose_5 target_TCP_speed_0 target_TCP_speed_1 target_TCP_speed_2 target_TCP_speed_3 target_TCP_speed_4 target_TCP_speed_5
155250.104 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
155250.112 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
155250.12 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
155250.128 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
155250.136 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
155250.144 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
155250.152 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
155250.16 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
155250.168 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
155250.176 -8.881784197001252e-16 -1.5707963267948957 1.5707963267948966 -1.5707963267948966 -1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.323507929088547e-26 -0.5442396572688698 -0.7673661111166267 -0.22935479646650192 -1.3146049461972207e-11 0.0 1.7377659108932625e-25 -7.14586669994026 -7.145866699940251 -1.0424175499402513 -5.974879480466367e-11 0.0 1.7484556025237907e-07 -1.570796314870016 1.5707963705062866 -1.570796314870016 -1.570796314870016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 1.3235079940978504e-26 -0.5442396402359009 -0.7673661112785339 -0.22935479879379272 -1.3146049353263134e-11 0.0 -0.29859997771153685 -0.11235005320119973 0.3136499823461779 2.221441025389731 2.2214414133432396 6.515887293541597e-08 0.0 0.0 0.0 0.0 0.0 0.0 9.240737938672043e-07 3.476883623647112e-07 4.253146470688827e-08 -2.8475674355131654e-08 6.147405206913341e-08 -2.6501512974773637e-15 -0.2985999999832023 -0.11235000001566955 0.31364999997695653 2.221441469306997 2.2214414688513693 4.5562597597761764e-10 0.0 0.0 0.0 0.0 0.0 0.0
